trial,val_auc,val_acc,threshold,youden_j,best_epoch,best_val_auc_in_training,best_val_loss_in_training,seconds,lookback,lstm_units,dropout,recurrent_dropout,lr,batch,dense_units,val_cm_tn_fp_fn_tp
1,0.4921875,0.5476190476190477,0.6,0.08568548387096625,21,0.4925655126571655,0.7003185153007507,36.236329317092896,105,96,0.08,0.25,0.0003,64,64,"[[54, 10], [47, 15]]"
2,0.544858870967742,0.5634920634920635,0.49999999999999994,0.12752016129032023,1,0.5432207584381104,0.6907379627227783,6.770144462585449,60,48,0.08,0.2,0.0002,64,32,"[[35, 29], [26, 36]]"
3,0.497983870967742,0.5158730158730159,0.5499999999999999,0.016129032258064255,1,0.49684980511665344,0.6943383812904358,21.157862424850464,60,48,0.1,0.25,0.0002,16,16,"[[64, 0], [61, 1]]"
4,0.37676411290322576,0.5079365079365079,0.65,0.0,20,0.378024160861969,0.7141991853713989,32.9200541973114,105,48,0.1,0.25,0.0002,64,32,"[[64, 0], [62, 0]]"
5,0.5050403225806452,0.5476190476190477,0.49999999999999994,0.09778225806451413,1,0.5108367204666138,0.6964464783668518,17.142753839492798,45,48,0.02,0.2,0.0001,16,64,"[[30, 34], [23, 39]]"
6,0.4674899193548387,0.5079365079365079,0.44999999999999996,0.03124999999999889,8,0.4667338728904724,0.6989620327949524,49.21476101875305,75,96,0.08,0.15,0.0003,16,32,"[[2, 62], [0, 62]]"
7,0.6388608870967742,0.6190476190476191,0.49999999999999994,0.24042338709677008,1,0.6364667415618896,0.6872799396514893,9.883219480514526,105,96,0.02,0.15,0.0002,64,64,"[[35, 29], [19, 43]]"
8,0.5357862903225806,0.5238095238095238,0.49999999999999994,0.050907258064514904,2,0.539818525314331,0.6906549334526062,38.13387584686279,105,16,0.02,0.25,0.0001,16,64,"[[27, 37], [23, 39]]"
9,0.5519153225806452,0.5396825396825397,0.5499999999999999,0.06905241935483752,1,0.5510332584381104,0.6934577822685242,9.125611305236816,45,48,0.1,0.25,0.0003,32,16,"[[55, 9], [49, 13]]"
10,0.4909274193548387,0.5158730158730159,0.49999999999999994,0.03578629032257963,9,0.49004533886909485,0.6955774426460266,10.715519428253174,45,96,0.1,0.25,0.0001,64,32,"[[25, 39], [22, 40]]"
11,0.5463709677419355,0.5396825396825397,0.49999999999999994,0.08114919354838546,24,0.5466229319572449,0.6979352235794067,67.27388668060303,45,96,0.08,0.15,0.0003,16,64,"[[31, 33], [25, 37]]"
12,0.4662298387096774,0.5079365079365079,0.49999999999999994,0.018145161290321954,1,0.46900200843811035,0.6971781253814697,10.131194114685059,105,96,0.05,0.25,0.0001,64,64,"[[28, 36], [26, 36]]"
13,0.5360383064516129,0.5317460317460317,0.5499999999999999,0.048891129032257265,1,0.5255796313285828,0.6931483149528503,8.818207263946533,90,96,0.02,0.25,0.0002,64,32,"[[63, 1], [58, 4]]"
14,0.5050403225806451,0.5238095238095238,0.49999999999999994,0.03629032258064449,2,0.5134828090667725,0.6929997801780701,8.779842138290405,75,96,0.08,0.2,0.0001,64,64,"[[56, 8], [52, 10]]"
15,0.45312499999999994,0.5,0.44999999999999996,0.015624999999999112,4,0.4498487710952759,0.6980084776878357,16.250107049942017,60,16,0.08,0.15,0.0001,32,16,"[[1, 63], [0, 62]]"
16,0.45715725806451607,0.5079365079365079,0.6,0.0,17,0.4667338728904724,0.7012077569961548,30.220920085906982,105,48,0.05,0.2,0.0002,64,16,"[[64, 0], [62, 0]]"
17,0.5430947580645161,0.5476190476190477,0.5499999999999999,0.08770161290322426,8,0.5495212078094482,0.6919097900390625,17.0311861038208,45,64,0.05,0.15,0.0003,32,32,"[[50, 14], [43, 19]]"
18,0.451108870967742,0.5079365079365079,0.6,0.0,1,0.4516128897666931,0.7040006518363953,7.534493684768677,75,64,0.05,0.2,0.0003,64,16,"[[64, 0], [62, 0]]"
19,0.4952116935483871,0.5634920634920635,0.49999999999999994,0.11441532258064327,1,0.503150224685669,0.6941620707511902,18.39016056060791,105,48,0.05,0.15,0.0001,32,64,"[[61, 3], [52, 10]]"
20,0.4649697580645161,0.5079365079365079,0.5499999999999999,0.0,1,0.4619455337524414,0.6967926025390625,9.024957180023193,90,96,0.08,0.15,0.0001,64,32,"[[64, 0], [62, 0]]"
21,0.45337701612903225,0.5079365079365079,0.5499999999999999,0.0,1,0.4456905126571655,0.697365939617157,24.780996561050415,75,64,0.05,0.25,0.0002,16,64,"[[64, 0], [62, 0]]"
22,0.42918346774193544,0.5079365079365079,0.49999999999999994,0.0,1,0.4335937201976776,0.701957106590271,8.819347143173218,90,96,0.08,0.15,0.0001,64,64,"[[64, 0], [62, 0]]"
23,0.5085685483870968,0.5396825396825397,0.65,0.06552419354838603,30,0.5094505548477173,0.6996631026268005,73.88259935379028,105,32,0.1,0.2,0.0003,32,64,"[[62, 2], [56, 6]]"
24,0.5375504032258064,0.5158730158730159,0.5499999999999999,0.022177419354838246,1,0.5417086482048035,0.6921565532684326,15.604968547821045,90,48,0.08,0.2,0.0003,32,16,"[[52, 12], [49, 13]]"
25,0.516633064516129,0.5476190476190477,0.44999999999999996,0.10383064516128826,1,0.5166330337524414,0.6949204206466675,16.182473182678223,90,32,0.08,0.25,0.0001,32,64,"[[18, 46], [11, 51]]"
