feature,importance
sentiment_std,0.08876063732287862
volatility_20d,0.08459104911427547
trends_zscore_30d,0.08168732794362359
soxx_return,0.07971553077493022
volume_20d_avg,0.07660922056449136
volume_change,0.06958289073277746
momentum_20d,0.06734811622636536
trends_momentum_7d,0.06381856984896078
ief_return,0.06232236848352007
momentum_5d,0.060146230116255084
overnight_return,0.05750703649039251
spy_return,0.05720593529086461
log_return,0.056913233774292506
avg_sentiment,0.053269874789834415
news_count,0.028126385534225782
trends_spike,0.012395592992312228
