,log_return,overnight_return,momentum_5d,momentum_20d,volatility_20d,volume_change,volume_20d_avg,avg_sentiment,sentiment_std,news_count,spy_return,soxx_return,ief_return,trends_zscore_30d,trends_momentum_7d,trends_spike
log_return,1.0,0.5700077193873895,0.4256292728952003,0.2180279053995391,0.0024269136011187023,-0.012597601203217394,-0.022938191404881368,0.08703771265863232,-0.03761311234148386,0.009056413016130672,0.6438234678739946,0.791931642398642,0.024875805347734956,0.08232685494202163,0.04376817138895948,0.07874298533847689
overnight_return,0.5700077193873895,1.0,0.25734785007800187,0.12811140331157608,0.016122264645491272,0.13772067868218815,-0.01536506134234615,0.13814414470995562,-0.07925135087740019,0.04385613234396884,0.3403714949376163,0.4304418769348882,0.05064680732164914,0.12543130016731477,0.15059274654167026,0.09823579392844359
momentum_5d,0.4256292728952003,0.25734785007800187,1.0,0.5022519545883368,-0.009215899407268578,-0.002072813592302661,-0.038512876865226635,0.13655536036271967,-0.02410973514117977,0.08267411703349163,0.23821798493402996,0.2956260307544254,0.06917659810274214,0.15063127751968594,0.11922682925016834,0.09255728888345825
momentum_20d,0.2180279053995391,0.12811140331157608,0.5022519545883368,1.0,-0.001256511501923203,-0.006975867775163868,0.006127446035888853,0.12226703864633959,-0.018452951396017877,0.10988347952749992,0.13858490452882757,0.1488807235244251,0.04578043298948449,0.07793029092340666,0.039872344655353144,0.06697463126235279
volatility_20d,0.0024269136011187023,0.016122264645491272,-0.009215899407268578,-0.001256511501923203,1.0,0.005605217286813114,0.6404315942324406,-0.055720540181698704,0.09062536306852183,0.12006517573208512,0.014282648072946493,0.013024940307090904,-0.005132855527495599,-0.04366573737760056,-0.0032592052660240316,0.04528753937688244
volume_change,-0.012597601203217394,0.13772067868218815,-0.002072813592302661,-0.006975867775163868,0.005605217286813114,1.0,-0.03834944675891413,-0.014313266490648891,-0.056627656584171585,-0.006875516853190763,-0.11995389819606969,-0.07927206948976181,0.04589656514779296,0.2540276859573209,0.20972435638770887,0.2674326314794221
volume_20d_avg,-0.022938191404881368,-0.01536506134234615,-0.038512876865226635,0.006127446035888853,0.6404315942324406,-0.03834944675891413,1.0,-0.10477170368586453,0.06952357541873418,-0.028236863508951028,-0.02144990840155619,-0.021628101424339095,-0.031631253072590626,-0.1593197706499742,-0.08386764234018224,-0.05890480635970182
avg_sentiment,0.08703771265863232,0.13814414470995562,0.13655536036271967,0.12226703864633959,-0.055720540181698704,-0.014313266490648891,-0.10477170368586453,1.0,-0.28676330116988014,-0.006427244992797846,0.09520754392074672,0.11038090556918492,0.029151380065690426,-0.04427827693827224,-0.027816616571345338,-0.051516127076405474
sentiment_std,-0.03761311234148386,-0.07925135087740019,-0.02410973514117977,-0.018452951396017877,0.09062536306852183,-0.056627656584171585,0.06952357541873418,-0.28676330116988014,1.0,0.23966150248461546,-0.015584545341815267,-0.042718289294012425,-0.010849871438217735,0.025114880810762723,0.00883558078032488,-0.03224371886507381
news_count,0.009056413016130672,0.04385613234396884,0.08267411703349163,0.10988347952749992,0.12006517573208512,-0.006875516853190763,-0.028236863508951028,-0.006427244992797846,0.23966150248461546,1.0,0.0017455251745591934,0.01282295863274843,0.06614430687478434,0.21620892065456884,0.1694751522814788,0.09018565193629281
spy_return,0.6438234678739946,0.3403714949376163,0.23821798493402996,0.13858490452882757,0.014282648072946493,-0.11995389819606969,-0.02144990840155619,0.09520754392074672,-0.015584545341815267,0.0017455251745591934,1.0,0.8179475825720558,0.06455897101221626,-0.007872796758984295,-0.014219430383203157,0.01689251694730896
soxx_return,0.791931642398642,0.4304418769348882,0.2956260307544254,0.1488807235244251,0.013024940307090904,-0.07927206948976181,-0.021628101424339095,0.11038090556918492,-0.042718289294012425,0.01282295863274843,0.8179475825720558,1.0,0.024176493464911505,0.033068093690640406,0.0018957743989913684,0.04354211449176107
ief_return,0.024875805347734956,0.05064680732164914,0.06917659810274214,0.04578043298948449,-0.005132855527495599,0.04589656514779296,-0.031631253072590626,0.029151380065690426,-0.010849871438217735,0.06614430687478434,0.06455897101221626,0.024176493464911505,1.0,0.020659040671869387,0.02103076390421333,0.01455602044853471
trends_zscore_30d,0.08232685494202163,0.12543130016731477,0.15063127751968594,0.07793029092340666,-0.04366573737760056,0.2540276859573209,-0.1593197706499742,-0.04427827693827224,0.025114880810762723,0.21620892065456884,-0.007872796758984295,0.033068093690640406,0.020659040671869387,1.0,0.6335480216937069,0.6919492887760234
trends_momentum_7d,0.04376817138895948,0.15059274654167026,0.11922682925016834,0.039872344655353144,-0.0032592052660240316,0.20972435638770887,-0.08386764234018224,-0.027816616571345338,0.00883558078032488,0.1694751522814788,-0.014219430383203157,0.0018957743989913684,0.02103076390421333,0.6335480216937069,1.0,0.5265979086802227
trends_spike,0.07874298533847689,0.09823579392844359,0.09255728888345825,0.06697463126235279,0.04528753937688244,0.2674326314794221,-0.05890480635970182,-0.051516127076405474,-0.03224371886507381,0.09018565193629281,0.01689251694730896,0.04354211449176107,0.01455602044853471,0.6919492887760234,0.5265979086802227,1.0
