feature,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
log_return,1284.0,0.000661028033604243,0.033379186137326246,-0.1897682366946647,-0.0862798052761504,-0.05387217955478129,-0.017446921815411576,0.0001361975737719,0.018835477476517322,0.05255852629450546,0.08813099996311045,0.2125317202117619
overnight_return,1284.0,0.0011640426763022695,0.021172371533428755,-0.1123994223230863,-0.05428622933616066,-0.02608560567384406,-0.008366187641642875,0.00106244197652075,0.01007615225022585,0.028323635891422314,0.05512569113406553,0.3754023686607956
momentum_5d,1284.0,0.0006350579971189436,0.01450409195373929,-0.0545169304433438,-0.03455585798948912,-0.02230228002191162,-0.00839426618210545,0.0006146353570104001,0.009822083322445526,0.025002543877603176,0.03470675642434424,0.0722898477530338
momentum_20d,1284.0,0.0006620192967374735,0.007304591713998138,-0.0194037873402556,-0.01594007578385688,-0.010788525326372814,-0.00443612164651915,7.29638565886792e-05,0.005885845466063125,0.012773550301999035,0.018927899048698186,0.0238574492311176
volatility_20d,1284.0,0.03162804289394667,0.00988022750741296,0.012689263449375,0.015659086213717196,0.019072387967558394,0.024910180227594177,0.0299902729250501,0.03592184226948352,0.050022749271494686,0.06705033273195302,0.0687658068551461
volume_change,1284.0,0.09400402138462735,0.5073484302810928,-0.8307759857307951,-0.6049050474915413,-0.48476912700456576,-0.2313308076202961,-0.01044504286844945,0.2804905615637027,1.0473269411104955,1.9181127087051657,5.2693066201593854
volume_20d_avg,1284.0,930402.7107476636,332383.4338323102,437754.95,466588.7355,515345.025,648746.5625,863891.15,1125302.025,1568871.5174999996,1813670.7795,2059719.9
avg_sentiment,1284.0,0.31659301466227024,0.20313777928845203,-0.891,-0.22690958333333328,-0.012978194444444414,0.20401071428571424,0.32898028846153843,0.45249333333333336,0.6204255357142855,0.7394962500000005,0.7845
sentiment_std,1284.0,0.3913728300323336,0.14472115201856336,0.0,0.0,0.14205775234037732,0.3100515518977287,0.3934298567816132,0.48201466261736836,0.6137706864637881,0.714323254834952,0.870712805215742
news_count,1284.0,7.501557632398754,3.2251202355413855,1.0,1.0,2.0,5.0,8.0,10.0,13.0,15.0,18.0
spy_return,1284.0,0.0004805077639214279,0.010577494652237967,-0.0602152661737053,-0.029652765601640534,-0.01660076697288209,-0.004637021370617625,0.0008117958289040499,0.00618876755345545,0.01593714362016905,0.025104480122874966,0.088442853280312
soxx_return,1284.0,0.0008321560118629742,0.022645512963795234,-0.1066981201375952,-0.06053443588131183,-0.037158915536443245,-0.011482722480944774,0.0010766628241658,0.014502952444322351,0.03517520208136604,0.05277715331648901,0.1717958839826228
ief_return,1284.0,-0.0001624726241347607,0.004800376361321386,-0.0179282682689296,-0.01221036312263749,-0.008059044972756349,-0.0029966463393733,-0.00010701513539724999,0.0027661830258109248,0.007338696461624839,0.012592209459928146,0.0222932471150285
trends_zscore_30d,1284.0,0.5685822544427699,0.7997456606744164,-1.264733317527824,-0.9300008470514717,-0.3504871093115957,0.0823436135319015,0.40257368248057257,0.8638896796819173,2.1016529142453613,3.3369768125576162,5.0059931214173226
trends_momentum_7d,1284.0,0.15553105294331768,0.684115457926547,-0.8862222222222222,-0.6798965311004784,-0.43385093167701855,-0.15217391304347816,-0.0009861932938854,0.2258064516129032,1.3726467331118446,2.9473484320557577,9.0
trends_spike,1284.0,0.056074766355140186,0.2301556910144449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
