observations,auc,accuracy,balanced_accuracy,precision,recall,f1,brier,trade_rate,mean_strategy_return,strategy_sharpe,max_drawdown,accuracy_binom_pvalue_vs_0p50,strategy_mean_ttest_pvalue_gt_0,strategy_mean_permutation_pvalue,confusion_matrix_tn_fp_fn_tp,fold,feature_set,model,feature_count,val_auc,val_accuracy,threshold,youden_j
63,0.5,0.6190476190476191,0.5,0.6190476190476191,1.0,0.7647058823529411,0.38095238095238093,1.0,0.004805644556644884,3.569800113253348,-0.09919079603510961,0.038462916804804625,0.040765007824152294,,"[[0, 24], [0, 39]]",1,all_features,majority_class,16,0.5,0.5317460317460317,,
63,0.47863247863247865,0.4603174603174603,0.5080128205128205,0.631578947368421,0.3076923076923077,0.41379310344827586,0.2500463289541486,0.30158730158730157,-0.00019857236855767762,-0.2785255612623674,-0.1365104448033715,0.7750187318548887,0.5547164277973586,,"[[17, 7], [27, 12]]",1,all_features,logistic_regression,16,0.5436377434859601,0.5793650793650794,0.5786957482302074,0.1907412092081938
63,0.43482905982905984,0.49206349206349204,0.46153846153846156,0.5897435897435898,0.5897435897435898,0.5897435897435898,0.24520551867160015,0.6190476190476191,0.002297730136448779,2.483059625174593,-0.1228651481101023,0.5993467537479669,0.11136791482337931,,"[[8, 16], [16, 23]]",1,all_features,random_forest,16,0.565140399696433,0.5873015873015873,0.5338096611699523,0.18745256767012186
63,0.47008547008547,0.49206349206349204,0.5176282051282051,0.64,0.41025641025641024,0.5,,0.3968253968253968,0.0008037417489346794,1.0093036899232009,-0.11662905115657296,0.5993467537479669,0.3092018448496942,,"[[15, 9], [23, 16]]",1,all_features,svm_linear,16,0.536048570705793,0.5793650793650794,0.773674993754983,0.18466987098406043
63,0.5,0.5555555555555556,0.5,0.5555555555555556,1.0,0.7142857142857143,0.4444444444444444,1.0,0.003929416372901363,1.844345570408782,-0.20664633965556123,0.22498126814511127,0.18191398925795488,,"[[0, 28], [0, 35]]",2,all_features,majority_class,16,0.5,0.5714285714285714,,
63,0.5204081632653061,0.47619047619047616,0.5107142857142857,0.5833333333333334,0.2,0.2978723404255319,0.25243409974443287,0.19047619047619047,0.0014623817339877146,0.9062927210825983,-0.10599023860055035,0.6926724921172691,0.32730650530094324,,"[[23, 5], [28, 7]]",2,all_features,logistic_regression,16,0.5694444444444444,0.5793650793650794,0.530422244295478,0.1620370370370367
63,0.5581632653061225,0.5396825396825397,0.5642857142857143,0.6666666666666666,0.34285714285714286,0.4528301886792453,0.2486116532107835,0.2857142857142857,0.0030107046054858332,1.7881340057156399,-0.10599023860055035,0.3073275078827309,0.18926864802180338,,"[[22, 6], [23, 12]]",2,all_features,random_forest,16,0.5087448559670782,0.5634920634920635,0.5319347304941845,0.11574074074074142
63,0.5142857142857142,0.5079365079365079,0.5321428571428571,0.6111111111111112,0.3142857142857143,0.41509433962264153,,0.2857142857142857,0.002948536018766414,1.7357701744553629,-0.10599023860055024,0.5,0.19628612477462376,,"[[21, 7], [24, 11]]",2,all_features,svm_linear,16,0.5853909465020577,0.5952380952380952,0.34889427266016626,0.18055555555555514
63,0.5,0.5714285714285714,0.5,0.5714285714285714,1.0,0.7272727272727273,0.42857142857142855,1.0,0.007664757037705248,3.7500749408227345,-0.14136135175849895,0.15675152664822642,0.03380841968032323,,"[[0, 27], [0, 36]]",3,all_features,majority_class,16,0.5,0.5873015873015873,,
63,0.5041152263374485,0.42857142857142855,0.4814814814814815,0.5,0.1111111111111111,0.18181818181818182,0.2579891542091278,0.12698412698412698,0.0009034883270129794,0.8476271287742358,-0.09369902363997895,0.8963160500715729,0.3378101341864851,,"[[23, 4], [32, 4]]",3,all_features,logistic_regression,16,0.5488565488565488,0.5476190476190477,0.5272014947922519,0.13253638253638267
