feature,importance
volatility_20d,0.11054670979704909
trends_zscore_30d,0.0801043469373423
momentum_20d,0.07954865654163668
log_return,0.07498698926118205
overnight_return,0.0689609038848184
ief_return,0.06782697035496746
volume_20d_avg,0.06751396829012886
trends_momentum_7d,0.06001685809070995
momentum_5d,0.05961357629293132
soxx_return,0.05660094180276327
spy_return,0.056250633247643136
avg_sentiment,0.055911438841156264
volume_change,0.0558550278168245
sentiment_std,0.055619674484313944
news_count,0.044689807819484305
trends_spike,0.0059534965370485575
