,log_return,overnight_return,momentum_5d,momentum_20d,volatility_20d,volume_change,volume_20d_avg,avg_sentiment,sentiment_std,news_count,spy_return,soxx_return,ief_return,trends_zscore_30d,trends_momentum_7d,trends_spike
log_return,1.0,0.5800309058912189,0.4271688132823357,0.2220108254921547,-0.0030967811334012647,-0.040644042469479676,-0.03134048901696683,0.021694152680336656,-0.0024162018694177654,-0.012712702807204292,0.6990943273159194,0.8103229568632906,0.02739923664666835,0.11631111274253444,-0.03220295372084991,0.09488637992984797
overnight_return,0.5800309058912189,1.0,0.25804045389815655,0.1470924768357578,-0.016895549597021862,-0.0018589342315851387,-0.024840308041386948,0.05503806561344251,-0.01964954041825954,-0.0003183052020022447,0.3843345859446422,0.4498748189882151,0.03856044244394215,0.12160912337011033,-0.022588217590502703,0.10744442969222853
momentum_5d,0.4271688132823357,0.25804045389815655,1.0,0.4944326912505211,-0.034288975019816384,-0.027075653207878376,-0.08376726382380932,0.2020971185197103,-0.11937578568464761,-0.013141272574443178,0.30590402872652434,0.3270226894019509,0.04624817033148859,0.14185057003791351,-0.03397824379013214,0.08454441779220241
momentum_20d,0.2220108254921547,0.1470924768357578,0.4944326912505211,1.0,-0.1577737820837581,0.027834199060464294,-0.19358590342236162,0.14703307886532424,-0.09648380163019815,-0.0008324960438907036,0.1675762600150202,0.1544592629476855,0.039566676141889426,0.21110797628813444,0.0030952536755738213,0.11293868881638258
volatility_20d,-0.0030967811334012647,-0.016895549597021862,-0.034288975019816384,-0.1577737820837581,1.0,-0.013652321173581552,0.1580908457721787,-0.08248327709507582,0.0980607438401543,0.024602387966149337,-0.005137516976207575,-0.010578565478062744,0.007476874816560548,-0.1440556948673598,0.07242136952562239,-0.01646017978448468
volume_change,-0.040644042469479676,-0.0018589342315851387,-0.027075653207878376,0.027834199060464294,-0.013652321173581552,1.0,-0.028928127616068583,-0.01215600447630526,-0.04995333884117781,-0.17225534333641296,-0.10030894727816213,-0.07656682948279969,0.02002014070575479,0.23743192954867087,0.24513787510744983,0.23082479549952592
volume_20d_avg,-0.03134048901696683,-0.024840308041386948,-0.08376726382380932,-0.19358590342236162,0.1580908457721787,-0.028928127616068583,1.0,-0.08001414974601288,0.0735474759281613,0.11918685558277486,-0.009155708946385526,-0.002152805404877635,0.021868213964782952,-0.1639558892922327,0.025078819277323607,-0.055884253785394224
avg_sentiment,0.021694152680336656,0.05503806561344251,0.2020971185197103,0.14703307886532424,-0.08248327709507582,-0.01215600447630526,-0.08001414974601288,1.0,-0.3634372170337672,-0.056662715967811736,0.08328922530247537,0.054080558908682186,0.019521704404682715,-0.05785047821906994,-0.03571962203560729,-0.048719089794156595
sentiment_std,-0.0024162018694177654,-0.01964954041825954,-0.11937578568464761,-0.09648380163019815,0.0980607438401543,-0.04995333884117781,0.0735474759281613,-0.3634372170337672,1.0,0.17762238701735095,-0.035255228686814924,-0.01788959346756963,-0.0081453947829093,-0.03360853012346169,0.032446676512383435,-0.04285445360817771
news_count,-0.012712702807204292,-0.0003183052020022447,-0.013141272574443178,-0.0008324960438907036,0.024602387966149337,-0.17225534333641296,0.11918685558277486,-0.056662715967811736,0.17762238701735095,1.0,0.013251485350810078,-0.0269927709194465,0.04540946066445645,-0.0029532038014127267,-0.0036404132195476347,0.003941051048281047
spy_return,0.6990943273159194,0.3843345859446422,0.30590402872652434,0.1675762600150202,-0.005137516976207575,-0.10030894727816213,-0.009155708946385526,0.08328922530247537,-0.035255228686814924,0.013251485350810078,1.0,0.8179475825720558,0.06455897101221626,0.017893933228481318,-0.015685627109259984,0.0231286065289741
soxx_return,0.8103229568632906,0.4498748189882151,0.3270226894019509,0.1544592629476855,-0.010578565478062744,-0.07656682948279969,-0.002152805404877635,0.054080558908682186,-0.01788959346756963,-0.0269927709194465,0.8179475825720558,1.0,0.024176493464911505,0.036132448987957776,-0.04811037739463091,0.04243305307999603
ief_return,0.02739923664666835,0.03856044244394215,0.04624817033148859,0.039566676141889426,0.007476874816560548,0.02002014070575479,0.021868213964782952,0.019521704404682715,-0.0081453947829093,0.04540946066445645,0.06455897101221626,0.024176493464911505,1.0,-0.013442840120647458,0.03081758837577019,-0.02628657111768495
trends_zscore_30d,0.11631111274253444,0.12160912337011033,0.14185057003791351,0.21110797628813444,-0.1440556948673598,0.23743192954867087,-0.1639558892922327,-0.05785047821906994,-0.03360853012346169,-0.0029532038014127267,0.017893933228481318,0.036132448987957776,-0.013442840120647458,1.0,0.5014187631383568,0.7369794317624357
trends_momentum_7d,-0.03220295372084991,-0.022588217590502703,-0.03397824379013214,0.0030952536755738213,0.07242136952562239,0.24513787510744983,0.025078819277323607,-0.03571962203560729,0.032446676512383435,-0.0036404132195476347,-0.015685627109259984,-0.04811037739463091,0.03081758837577019,0.5014187631383568,1.0,0.4231548055595642
trends_spike,0.09488637992984797,0.10744442969222853,0.08454441779220241,0.11293868881638258,-0.01646017978448468,0.23082479549952592,-0.055884253785394224,-0.048719089794156595,-0.04285445360817771,0.003941051048281047,0.0231286065289741,0.04243305307999603,-0.02628657111768495,0.7369794317624357,0.4231548055595642,1.0
