,count,mean,std,min,5%,25%,median,75%,95%,max,missing,skew,kurtosis
log_return,1284.0,0.0021,0.0324,-0.1852,-0.0488,-0.0161,0.0028,0.0207,0.051,0.218,0,0.2212,3.6429
overnight_return,1284.0,0.0017,0.0201,-0.1423,-0.026,-0.0083,0.0016,0.0108,0.0284,0.261,0,1.583,27.3217
momentum_5d,1284.0,0.0021,0.0138,-0.0503,-0.0218,-0.0065,0.0024,0.0108,0.0239,0.0528,0,-0.1702,0.4944
momentum_20d,1284.0,0.0021,0.0071,-0.0221,-0.0093,-0.0023,0.0018,0.0067,0.0141,0.0199,0,-0.0994,0.1631
volatility_20d,1284.0,0.0306,0.0106,0.0124,0.017,0.0219,0.0279,0.0391,0.052,0.056,0,0.5605,-0.6554
volume_change,1284.0,0.0966,0.5644,-0.8877,-0.4531,-0.2297,-0.0177,0.2689,0.9939,7.7136,0,4.5759,43.5503
volume_20d_avg,1284.0,1533229.7974,1317722.9312,159764.85,264448.77,511166.45,977956.375,2578410.1125,4342130.14,5357926.1,0,1.0883,0.075
avg_sentiment,1284.0,0.2329,0.2008,-0.4729,-0.1131,0.1076,0.248,0.3698,0.5286,0.93,0,-0.2588,0.4457
sentiment_std,1284.0,0.4313,0.1233,0.0,0.24,0.3534,0.4338,0.5096,0.6254,0.893,0,-0.3507,1.1479
news_count,1284.0,9.4283,3.4447,1.0,4.0,7.0,10.0,11.0,15.0,24.0,0,0.0771,0.0806
spy_return,1284.0,0.0005,0.0106,-0.0602,-0.0166,-0.0046,0.0008,0.0062,0.0159,0.0884,0,-0.0255,5.9802
soxx_return,1284.0,0.0008,0.0226,-0.1067,-0.0372,-0.0115,0.0011,0.0145,0.0352,0.1718,0,0.0332,3.5622
ief_return,1284.0,-0.0002,0.0048,-0.0179,-0.0081,-0.003,-0.0001,0.0028,0.0073,0.0223,0,0.1047,1.2418
trends_zscore_30d,1284.0,0.5553,0.8708,-1.5716,-0.3743,0.0059,0.3584,0.8427,2.3092,5.2419,0,1.7351,4.5263
trends_momentum_7d,1284.0,0.2052,1.3594,-0.8,-0.4399,-0.1538,0.0,0.2175,1.4071,35.0,0,16.7819,381.6095
trends_spike,1284.0,0.0701,0.2554,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,3.3717,9.3832
