,log_return,overnight_return,momentum_5d,momentum_20d,volatility_20d,volume_change,volume_20d_avg,avg_sentiment,sentiment_std,news_count,spy_return,soxx_return,ief_return,trends_zscore_30d,trends_momentum_7d,trends_spike
log_return,1.0,0.5197,0.3946,0.1761,-0.0235,-0.0654,-0.0384,0.0225,0.0138,-0.0189,0.6827,0.7899,0.0185,0.0953,0.0605,0.0664
overnight_return,0.5197,1.0,0.2203,0.0918,-0.0401,0.0103,-0.0255,0.0736,-0.0034,-0.0069,0.4025,0.4697,0.0459,0.0737,0.0903,0.0647
momentum_5d,0.3946,0.2203,1.0,0.4533,-0.0332,-0.0387,-0.1081,0.2138,-0.112,-0.01,0.2918,0.2909,0.0389,0.1644,0.119,0.0965
momentum_20d,0.1761,0.0918,0.4533,1.0,-0.177,-0.0048,-0.2013,0.1325,-0.1036,0.0085,0.1376,0.1086,0.0427,0.2493,0.1064,0.1068
volatility_20d,-0.0235,-0.0401,-0.0332,-0.177,1.0,-0.0119,0.2286,-0.0894,0.1104,0.0119,-0.0147,-0.0272,-0.0005,-0.1904,-0.0937,-0.0119
volume_change,-0.0654,0.0103,-0.0387,-0.0048,-0.0119,1.0,-0.0021,-0.0138,-0.0615,-0.1927,-0.138,-0.069,0.0552,0.1042,0.0831,0.1406
volume_20d_avg,-0.0384,-0.0255,-0.1081,-0.2013,0.2286,-0.0021,1.0,-0.0886,0.1287,0.1673,-0.0178,-0.002,0.012,-0.2293,-0.1165,-0.0746
avg_sentiment,0.0225,0.0736,0.2138,0.1325,-0.0894,-0.0138,-0.0886,1.0,-0.371,-0.0517,0.0763,0.0462,0.0338,-0.0741,-0.0726,-0.0544
sentiment_std,0.0138,-0.0034,-0.112,-0.1036,0.1104,-0.0615,0.1287,-0.371,1.0,0.1173,-0.0135,-0.0042,-0.005,-0.0264,0.0311,-0.0416
news_count,-0.0189,-0.0069,-0.01,0.0085,0.0119,-0.1927,0.1673,-0.0517,0.1173,1.0,0.0239,-0.0257,0.0365,0.0013,0.0008,0.0094
spy_return,0.6827,0.4025,0.2918,0.1376,-0.0147,-0.138,-0.0178,0.0763,-0.0135,0.0239,1.0,0.787,0.0674,0.0409,0.0145,0.0111
soxx_return,0.7899,0.4697,0.2909,0.1086,-0.0272,-0.069,-0.002,0.0462,-0.0042,-0.0257,0.787,1.0,0.0152,0.0408,0.0006,0.0264
ief_return,0.0185,0.0459,0.0389,0.0427,-0.0005,0.0552,0.012,0.0338,-0.005,0.0365,0.0674,0.0152,1.0,0.0085,-0.011,-0.0236
trends_zscore_30d,0.0953,0.0737,0.1644,0.2493,-0.1904,0.1042,-0.2293,-0.0741,-0.0264,0.0013,0.0409,0.0408,0.0085,1.0,0.6153,0.4422
trends_momentum_7d,0.0605,0.0903,0.119,0.1064,-0.0937,0.0831,-0.1165,-0.0726,0.0311,0.0008,0.0145,0.0006,-0.011,0.6153,1.0,0.4119
trends_spike,0.0664,0.0647,0.0965,0.1068,-0.0119,0.1406,-0.0746,-0.0544,-0.0416,0.0094,0.0111,0.0264,-0.0236,0.4422,0.4119,1.0
