trial,val_auc,val_acc,threshold,youden_j,best_epoch,best_val_auc_in_training,best_val_loss_in_training,seconds,lookback,lstm_units,dropout,recurrent_dropout,lr,batch,dense_units,val_cm_tn_fp_fn_tp
1,0.5542929292929293,0.5079365079365079,0.5,,1,0.5541666746139526,0.6927223801612854,11.712677001953125,105,48,0.05,0.2,0.0002,64,32,"[[54, 6], [56, 10]]"
2,0.48005050505050506,0.47619047619047616,0.5,,1,0.48699498176574707,0.6946123242378235,25.97772216796875,75,64,0.05,0.25,0.0002,16,32,"[[25, 35], [31, 35]]"
3,0.5161616161616162,0.5317460317460317,0.5,,1,0.5266413688659668,0.7016521096229553,8.91363263130188,90,16,0.08,0.2,0.0002,64,32,"[[1, 59], [0, 66]]"
4,0.5426767676767678,0.5238095238095238,0.5,,2,0.5465909242630005,0.7028768658638,18.57148575782776,45,48,0.02,0.2,0.0001,16,32,"[[0, 60], [0, 66]]"
5,0.45580808080808083,0.47619047619047616,0.5,,1,0.4578282833099365,0.7128354907035828,32.96110820770264,105,64,0.08,0.15,0.0003,16,64,"[[60, 0], [66, 0]]"
6,0.42727272727272725,0.48412698412698413,0.5,,2,0.4333333373069763,0.7121373414993286,10.589055061340332,105,16,0.02,0.2,0.0003,64,16,"[[56, 4], [61, 5]]"
7,0.48535353535353537,0.47619047619047616,0.5,,14,0.4921717047691345,0.7450354099273682,45.83624505996704,45,32,0.05,0.15,0.0002,16,32,"[[60, 0], [66, 0]]"
8,0.3997474747474748,0.49206349206349204,0.5,,1,0.41224750876426697,0.71526038646698,17.420936584472656,105,48,0.02,0.25,0.0002,32,64,"[[60, 0], [64, 2]]"
9,0.5633838383838383,0.5476190476190477,0.5,,1,0.567550539970398,0.6906704306602478,20.748355388641357,60,16,0.08,0.15,0.0003,16,64,"[[33, 27], [30, 36]]"
10,0.5111111111111112,0.46825396825396826,0.5,,2,0.5130050778388977,0.7103621363639832,10.717652797698975,105,32,0.02,0.25,0.0002,64,64,"[[59, 1], [66, 0]]"
11,0.5578282828282829,0.47619047619047616,0.5,,4,0.5568181872367859,0.6973243951797485,13.633524656295776,105,64,0.02,0.25,0.0002,64,64,"[[60, 0], [66, 0]]"
12,0.4583333333333333,0.47619047619047616,0.5,,1,0.4665403962135315,0.7204220294952393,25.51262879371643,75,48,0.08,0.15,0.0003,16,16,"[[60, 0], [66, 0]]"
13,0.4300505050505051,0.47619047619047616,0.5,,23,0.435353547334671,0.738705039024353,24.103729486465454,60,48,0.02,0.15,0.0002,64,32,"[[60, 0], [66, 0]]"
14,0.5651515151515152,0.47619047619047616,0.5,,2,0.5685606598854065,0.714800238609314,5.947048187255859,45,32,0.1,0.2,0.0003,64,16,"[[60, 0], [66, 0]]"
15,0.48005050505050506,0.47619047619047616,0.5,,3,0.4824495017528534,0.6975895762443542,19.985386610031128,90,48,0.05,0.15,0.0003,32,32,"[[60, 0], [66, 0]]"
16,0.5040404040404041,0.4603174603174603,0.5,,18,0.5074495077133179,0.7087718844413757,27.647923469543457,90,16,0.05,0.2,0.0003,64,64,"[[58, 2], [66, 0]]"
17,0.5391414141414141,0.5,0.5,,1,0.5395201444625854,0.6880678534507751,17.27579689025879,105,48,0.05,0.15,0.0001,32,32,"[[7, 53], [10, 56]]"
18,0.5025252525252525,0.5158730158730159,0.5,,1,0.4987373352050781,0.6954582333564758,19.725440979003906,105,64,0.08,0.15,0.0001,64,32,"[[0, 60], [1, 65]]"
19,0.5204545454545455,0.47619047619047616,0.5,,40,0.5229797959327698,0.70423424243927,95.69790315628052,90,32,0.1,0.15,0.0003,32,64,"[[60, 0], [66, 0]]"
20,0.5045454545454546,0.48412698412698413,0.5,,2,0.511363685131073,0.6940544843673706,35.080389738082886,75,16,0.02,0.25,0.0003,16,64,"[[59, 1], [64, 2]]"
