trial,val_auc,val_acc,threshold,youden_j,best_epoch,best_val_auc_in_training,best_val_loss_in_training,seconds,lookback,lstm_units,dropout,recurrent_dropout,lr,batch,dense_units,val_cm_tn_fp_fn_tp
1,0.47474747474747475,0.5317460317460317,0.44999999999999996,0.02121212121212246,1,0.48068177700042725,0.6962005496025085,11.46982479095459,105,48,0.05,0.2,0.0002,64,64,"[[4, 56], [3, 63]]"
2,0.5303030303030303,0.5476190476190477,0.5499999999999999,0.11969696969696822,2,0.529924213886261,0.6921338438987732,27.906723499298096,75,48,0.05,0.25,0.0002,16,32,"[[49, 11], [46, 20]]"
3,0.4553030303030303,0.48412698412698413,0.6,0.015151515151514923,1,0.4579545557498932,0.6984290480613708,9.006160974502563,90,64,0.08,0.2,0.0002,64,16,"[[60, 0], [65, 1]]"
4,0.47500000000000003,0.5317460317460317,0.49999999999999994,0.01969696969697088,1,0.4749999940395355,0.6962383985519409,26.053135871887207,75,16,0.02,0.2,0.0001,16,32,"[[3, 57], [2, 64]]"
5,0.5391414141414141,0.5476190476190477,0.35,0.10606060606060502,23,0.5401514768600464,0.7541455030441284,101.1858286857605,75,64,0.08,0.15,0.0003,16,64,"[[40, 20], [37, 29]]"
6,0.42777777777777776,0.5238095238095238,0.05,1.5543122344752192e-15,1,0.42904043197631836,0.7277703285217285,59.1738178730011,105,16,0.1,0.25,0.0003,16,16,"[[0, 60], [0, 66]]"
7,0.5037878787878788,0.5158730158730159,0.39999999999999997,0.003030303030304271,11,0.5092172026634216,0.7149113416671753,20.20097064971924,45,32,0.02,0.2,0.0001,32,16,"[[12, 48], [13, 53]]"
8,0.5320707070707071,0.5952380952380952,0.44999999999999996,0.1924242424242401,6,0.5320706963539124,0.70133376121521,56.02711844444275,105,48,0.08,0.2,0.0003,16,16,"[[37, 23], [28, 38]]"
9,0.5795454545454546,0.5317460317460317,0.5499999999999999,0.03484848484848557,1,0.5827019810676575,0.6912862658500671,32.47730755805969,105,16,0.08,0.15,0.0003,16,64,"[[13, 47], [12, 54]]"
10,0.5353535353535354,0.5238095238095238,0.5499999999999999,0.01515151515151636,2,0.5460858345031738,0.6941226720809937,10.658653259277344,105,32,0.02,0.25,0.0002,64,64,"[[10, 50], [10, 56]]"
